0,File-bytes,Entropy,Chi-square,Mean,Monte-Carlo-Pi,Serial-Correlation
1,6000000000,8.000000,518.853439,127.498769,3.141607,0.000014
2,Value,Occurrences,Fraction
3,0,23510824,0.003918
3,1,23445576,0.003908
3,2,23435472,0.003906
3,3,23442219,0.003907
3,4,23439150,0.003907
3,5,23447460,0.003908
3,6,23438743,0.003906
3,7,23446244,0.003908
3,8,23441681,0.003907
3,9,23440435,0.003907
3,10,23435874,0.003906
3,11,23444400,0.003907
3,12,23440243,0.003907
3,13,23431457,0.003905
3,14,23435623,0.003906
3,15,23439883,0.003907
3,16,23445879,0.003908
3,17,23430958,0.003905
3,18,23443995,0.003907
3,19,23437015,0.003906
3,20,23430451,0.003905
3,21,23434648,0.003906
3,22,23437718,0.003906
3,23,23433675,0.003906
3,24,23434732,0.003906
3,25,23435087,0.003906
3,26,23438212,0.003906
3,27,23436351,0.003906
3,28,23439541,0.003907
3,29,23438122,0.003906
3,30,23438133,0.003906
3,31,23428140,0.003905
3,32,23437660,0.003906
3,33,23440645,0.003907
3,34,23435659,0.003906
3,35,23435195,0.003906
3,36,23428110,0.003905
3,37,23431740,0.003905
3,38,23428045,0.003905
3,39,23429944,0.003905
3,40,23432003,0.003905
3,41,23440799,0.003907
3,42,23440930,0.003907
3,43,23428148,0.003905
3,44,23428636,0.003905
3,45,23441442,0.003907
3,46,23426691,0.003904
3,47,23446056,0.003908
3,48,23440790,0.003907
3,49,23438615,0.003906
3,50,23426166,0.003904
3,51,23426434,0.003904
3,52,23430993,0.003905
3,53,23439673,0.003907
3,54,23439967,0.003907
3,55,23440457,0.003907
3,56,23433621,0.003906
3,57,23446080,0.003908
3,58,23432942,0.003905
3,59,23442800,0.003907
3,60,23436251,0.003906
3,61,23438907,0.003906
3,62,23434440,0.003906
3,63,23441088,0.003907
3,64,23430989,0.003905
3,65,23435924,0.003906
3,66,23434612,0.003906
3,67,23429991,0.003905
3,68,23437870,0.003906
3,69,23425022,0.003904
3,70,23439366,0.003907
3,71,23447066,0.003908
3,72,23432121,0.003905
3,73,23437857,0.003906
3,74,23440604,0.003907
3,75,23438984,0.003906
3,76,23439118,0.003907
3,77,23434557,0.003906
3,78,23438802,0.003906
3,79,23442885,0.003907
3,80,23443420,0.003907
3,81,23438894,0.003906
3,82,23432286,0.003905
3,83,23429251,0.003905
3,84,23443632,0.003907
3,85,23438805,0.003906
3,86,23438531,0.003906
3,87,23435610,0.003906
3,88,23439244,0.003907
3,89,23428628,0.003905
3,90,23432039,0.003905
3,91,23432228,0.003905
3,92,23439820,0.003907
3,93,23441132,0.003907
3,94,23432054,0.003905
3,95,23438136,0.003906
3,96,23444187,0.003907
3,97,23441476,0.003907
3,98,23434127,0.003906
3,99,23444085,0.003907
3,100,23438549,0.003906
3,101,23446786,0.003908
3,102,23439971,0.003907
3,103,23439632,0.003907
3,104,23433280,0.003906
3,105,23433181,0.003906
3,106,23438567,0.003906
3,107,23435376,0.003906
3,108,23434288,0.003906
3,109,23435352,0.003906
3,110,23441507,0.003907
3,111,23436347,0.003906
3,112,23441476,0.003907
3,113,23427817,0.003905
3,114,23435989,0.003906
3,115,23439746,0.003907
3,116,23435469,0.003906
3,117,23434788,0.003906
3,118,23441214,0.003907
3,119,23442005,0.003907
3,120,23444437,0.003907
3,121,23436833,0.003906
3,122,23431243,0.003905
3,123,23434840,0.003906
3,124,23429335,0.003905
3,125,23444618,0.003907
3,126,23437458,0.003906
3,127,23426659,0.003904
3,128,23434276,0.003906
3,129,23427774,0.003905
3,130,23439350,0.003907
3,131,23438532,0.003906
3,132,23438766,0.003906
3,133,23430686,0.003905
3,134,23439126,0.003907
3,135,23443149,0.003907
3,136,23431192,0.003905
3,137,23434515,0.003906
3,138,23436376,0.003906
3,139,23437127,0.003906
3,140,23436714,0.003906
3,141,23432538,0.003905
3,142,23437713,0.003906
3,143,23446937,0.003908
3,144,23438474,0.003906
3,145,23440172,0.003907
3,146,23442116,0.003907
3,147,23434047,0.003906
3,148,23443993,0.003907
3,149,23434793,0.003906
3,150,23441525,0.003907
3,151,23434038,0.003906
3,152,23440087,0.003907
3,153,23437110,0.003906
3,154,23432547,0.003905
3,155,23436619,0.003906
3,156,23430977,0.003905
3,157,23428058,0.003905
3,158,23438106,0.003906
3,159,23438012,0.003906
3,160,23432691,0.003905
3,161,23431136,0.003905
3,162,23433835,0.003906
3,163,23443285,0.003907
3,164,23443280,0.003907
3,165,23438611,0.003906
3,166,23438186,0.003906
3,167,23444231,0.003907
3,168,23442512,0.003907
3,169,23429377,0.003905
3,170,23450770,0.003908
3,171,23443996,0.003907
3,172,23440049,0.003907
3,173,23441203,0.003907
3,174,23441713,0.003907
3,175,23438646,0.003906
3,176,23437910,0.003906
3,177,23440549,0.003907
3,178,23435222,0.003906
3,179,23443784,0.003907
3,180,23435713,0.003906
3,181,23433896,0.003906
3,182,23445623,0.003908
3,183,23430504,0.003905
3,184,23434716,0.003906
3,185,23437771,0.003906
3,186,23437425,0.003906
3,187,23427557,0.003905
3,188,23439366,0.003907
3,189,23434503,0.003906
3,190,23436195,0.003906
3,191,23436539,0.003906
3,192,23437694,0.003906
3,193,23435928,0.003906
3,194,23429462,0.003905
3,195,23442162,0.003907
3,196,23434118,0.003906
3,197,23439916,0.003907
3,198,23440861,0.003907
3,199,23444573,0.003907
3,200,23448716,0.003908
3,201,23436840,0.003906
3,202,23443078,0.003907
3,203,23436719,0.003906
3,204,23435708,0.003906
3,205,23433470,0.003906
3,206,23433317,0.003906
3,207,23440867,0.003907
3,208,23433245,0.003906
3,209,23441634,0.003907
3,210,23447998,0.003908
3,211,23445054,0.003908
3,212,23444461,0.003907
3,213,23436109,0.003906
3,214,23430346,0.003905
3,215,23429202,0.003905
3,216,23436655,0.003906
3,217,23439116,0.003907
3,218,23430961,0.003905
3,219,23434234,0.003906
3,220,23425842,0.003904
3,221,23442255,0.003907
3,222,23435139,0.003906
3,223,23432087,0.003905
3,224,23440541,0.003907
3,225,23439893,0.003907
3,226,23438354,0.003906
3,227,23428238,0.003905
3,228,23445075,0.003908
3,229,23430514,0.003905
3,230,23444207,0.003907
3,231,23439479,0.003907
3,232,23438695,0.003906
3,233,23443209,0.003907
3,234,23430319,0.003905
3,235,23433149,0.003906
3,236,23443607,0.003907
3,237,23445023,0.003908
3,238,23437494,0.003906
3,239,23432801,0.003905
3,240,23441167,0.003907
3,241,23431487,0.003905
3,242,23441463,0.003907
3,243,23432622,0.003905
3,244,23444705,0.003907
3,245,23435149,0.003906
3,246,23442088,0.003907
3,247,23429967,0.003905
3,248,23434871,0.003906
3,249,23433260,0.003906
3,250,23440386,0.003907
3,251,23437991,0.003906
3,252,23435443,0.003906
3,253,23439208,0.003907
3,254,23432913,0.003905
3,255,23433692,0.003906
