0,File-bytes,Entropy,Chi-square,Mean,Monte-Carlo-Pi,Serial-Correlation
1,6000000000,8.000000,410.895906,127.499559,3.141637,0.000022
2,Value,Occurrences,Fraction
3,0,23503784,0.003917
3,1,23439514,0.003907
3,2,23438054,0.003906
3,3,23442609,0.003907
3,4,23429715,0.003905
3,5,23429980,0.003905
3,6,23435574,0.003906
3,7,23433077,0.003906
3,8,23441642,0.003907
3,9,23434484,0.003906
3,10,23437414,0.003906
3,11,23422695,0.003904
3,12,23433255,0.003906
3,13,23447911,0.003908
3,14,23436727,0.003906
3,15,23435592,0.003906
3,16,23432570,0.003905
3,17,23432998,0.003905
3,18,23441472,0.003907
3,19,23440235,0.003907
3,20,23434761,0.003906
3,21,23445015,0.003908
3,22,23427338,0.003905
3,23,23433221,0.003906
3,24,23429889,0.003905
3,25,23428144,0.003905
3,26,23438415,0.003906
3,27,23434398,0.003906
3,28,23429159,0.003905
3,29,23436162,0.003906
3,30,23429737,0.003905
3,31,23438717,0.003906
3,32,23444187,0.003907
3,33,23436097,0.003906
3,34,23438086,0.003906
3,35,23437847,0.003906
3,36,23430743,0.003905
3,37,23427058,0.003905
3,38,23439328,0.003907
3,39,23432538,0.003905
3,40,23442227,0.003907
3,41,23439586,0.003907
3,42,23443233,0.003907
3,43,23434004,0.003906
3,44,23434208,0.003906
3,45,23435611,0.003906
3,46,23436991,0.003906
3,47,23441003,0.003907
3,48,23448611,0.003908
3,49,23433360,0.003906
3,50,23429866,0.003905
3,51,23445523,0.003908
3,52,23441343,0.003907
3,53,23442751,0.003907
3,54,23437394,0.003906
3,55,23440062,0.003907
3,56,23442247,0.003907
3,57,23439003,0.003907
3,58,23443160,0.003907
3,59,23427880,0.003905
3,60,23440342,0.003907
3,61,23436764,0.003906
3,62,23433522,0.003906
3,63,23425462,0.003904
3,64,23437165,0.003906
3,65,23441793,0.003907
3,66,23439833,0.003907
3,67,23434052,0.003906
3,68,23435812,0.003906
3,69,23430149,0.003905
3,70,23440799,0.003907
3,71,23445217,0.003908
3,72,23436981,0.003906
3,73,23437692,0.003906
3,74,23443662,0.003907
3,75,23445061,0.003908
3,76,23439640,0.003907
3,77,23432260,0.003905
3,78,23435557,0.003906
3,79,23437258,0.003906
3,80,23436340,0.003906
3,81,23438032,0.003906
3,82,23435319,0.003906
3,83,23433408,0.003906
3,84,23441214,0.003907
3,85,23442748,0.003907
3,86,23437113,0.003906
3,87,23438701,0.003906
3,88,23442090,0.003907
3,89,23436849,0.003906
3,90,23435204,0.003906
3,91,23438731,0.003906
3,92,23435504,0.003906
3,93,23436232,0.003906
3,94,23441221,0.003907
3,95,23436664,0.003906
3,96,23443009,0.003907
3,97,23442077,0.003907
3,98,23438276,0.003906
3,99,23438123,0.003906
3,100,23439456,0.003907
3,101,23429270,0.003905
3,102,23439688,0.003907
3,103,23440000,0.003907
3,104,23432518,0.003905
3,105,23437961,0.003906
3,106,23434971,0.003906
3,107,23439629,0.003907
3,108,23437113,0.003906
3,109,23440108,0.003907
3,110,23435553,0.003906
3,111,23434614,0.003906
3,112,23438367,0.003906
3,113,23440679,0.003907
3,114,23435159,0.003906
3,115,23438565,0.003906
3,116,23434841,0.003906
3,117,23428622,0.003905
3,118,23440243,0.003907
3,119,23434172,0.003906
3,120,23439520,0.003907
3,121,23443804,0.003907
3,122,23440273,0.003907
3,123,23436091,0.003906
3,124,23438325,0.003906
3,125,23443712,0.003907
3,126,23438699,0.003906
3,127,23436131,0.003906
3,128,23438181,0.003906
3,129,23444033,0.003907
3,130,23440484,0.003907
3,131,23436821,0.003906
3,132,23437414,0.003906
3,133,23434917,0.003906
3,134,23434694,0.003906
3,135,23434900,0.003906
3,136,23440854,0.003907
3,137,23436076,0.003906
3,138,23434656,0.003906
3,139,23442076,0.003907
3,140,23442091,0.003907
3,141,23440182,0.003907
3,142,23436732,0.003906
3,143,23438323,0.003906
3,144,23434027,0.003906
3,145,23435788,0.003906
3,146,23440412,0.003907
3,147,23431087,0.003905
3,148,23443188,0.003907
3,149,23430305,0.003905
3,150,23441823,0.003907
3,151,23441377,0.003907
3,152,23445931,0.003908
3,153,23428824,0.003905
3,154,23437680,0.003906
3,155,23436667,0.003906
3,156,23444129,0.003907
3,157,23442650,0.003907
3,158,23434804,0.003906
3,159,23446057,0.003908
3,160,23434625,0.003906
3,161,23435710,0.003906
3,162,23433029,0.003906
3,163,23428299,0.003905
3,164,23437477,0.003906
3,165,23430213,0.003905
3,166,23438036,0.003906
3,167,23436406,0.003906
3,168,23436388,0.003906
3,169,23437327,0.003906
3,170,23439806,0.003907
3,171,23441161,0.003907
3,172,23436289,0.003906
3,173,23435181,0.003906
3,174,23439537,0.003907
3,175,23430193,0.003905
3,176,23429384,0.003905
3,177,23437275,0.003906
3,178,23443706,0.003907
3,179,23437996,0.003906
3,180,23445125,0.003908
3,181,23429884,0.003905
3,182,23441796,0.003907
3,183,23436387,0.003906
3,184,23431917,0.003905
3,185,23433726,0.003906
3,186,23435363,0.003906
3,187,23439976,0.003907
3,188,23434678,0.003906
3,189,23431144,0.003905
3,190,23433542,0.003906
3,191,23428262,0.003905
3,192,23439686,0.003907
3,193,23439233,0.003907
3,194,23438489,0.003906
3,195,23435813,0.003906
3,196,23446417,0.003908
3,197,23440024,0.003907
3,198,23434485,0.003906
3,199,23432763,0.003905
3,200,23428414,0.003905
3,201,23443263,0.003907
3,202,23433634,0.003906
3,203,23436201,0.003906
3,204,23443350,0.003907
3,205,23438581,0.003906
3,206,23440419,0.003907
3,207,23433666,0.003906
3,208,23439913,0.003907
3,209,23436817,0.003906
3,210,23437183,0.003906
3,211,23435217,0.003906
3,212,23437052,0.003906
3,213,23436201,0.003906
3,214,23430152,0.003905
3,215,23437915,0.003906
3,216,23439517,0.003907
3,217,23443604,0.003907
3,218,23432406,0.003905
3,219,23439414,0.003907
3,220,23442399,0.003907
3,221,23436731,0.003906
3,222,23429070,0.003905
3,223,23438725,0.003906
3,224,23432372,0.003905
3,225,23435716,0.003906
3,226,23439389,0.003907
3,227,23433594,0.003906
3,228,23442579,0.003907
3,229,23437360,0.003906
3,230,23439370,0.003907
3,231,23442272,0.003907
3,232,23432123,0.003905
3,233,23434353,0.003906
3,234,23439205,0.003907
3,235,23432711,0.003905
