0,File-bytes,Entropy,Chi-square,Mean,Monte-Carlo-Pi,Serial-Correlation
1,6000000000,8.000000,491.518622,127.497745,3.141604,0.000033
2,Value,Occurrences,Fraction
3,239,23438151,0.003906
3,240,23441025,0.003907
3,241,23435439,0.003906
3,242,23439258,0.003907
3,243,23435792,0.003906
3,244,23429230,0.003905
3,245,23436431,0.003906
3,246,23435559,0.003906
3,247,23441451,0.003907
3,248,23428149,0.003905
3,249,23426714,0.003904
3,250,23440150,0.003907
3,251,23442177,0.003907
3,252,23437018,0.003906
3,253,23438393,0.003906
3,254,23437360,0.003906
3,255,23441773,0.003907
