0,File-bytes,Entropy,Chi-square,Mean,Monte-Carlo-Pi,Serial-Correlation
1,5999965279,8.000000,270.488747,127.500040,3.141541,-0.000021
2,Value,Occurrences,Fraction
3,0,23439027,0.003907
3,1,23437771,0.003906
3,2,23440551,0.003907
3,3,23438743,0.003906
3,4,23439339,0.003907
3,5,23430724,0.003905
3,6,23443681,0.003907
3,7,23434870,0.003906
3,8,23440953,0.003907
3,9,23438097,0.003906
3,10,23437929,0.003906
3,11,23435811,0.003906
3,12,23436875,0.003906
3,13,23443176,0.003907
3,14,23432965,0.003906
3,15,23433909,0.003906
3,16,23426874,0.003905
3,17,23429130,0.003905
3,18,23439350,0.003907
3,19,23433980,0.003906
3,20,23439815,0.003907
3,21,23434147,0.003906
3,22,23434097,0.003906
3,23,23431128,0.003905
3,24,23440093,0.003907
3,25,23443472,0.003907
3,26,23437676,0.003906
3,27,23427191,0.003905
3,28,23452350,0.003909
3,29,23438786,0.003906
3,30,23441308,0.003907
3,31,23434568,0.003906
3,32,23438827,0.003906
3,33,23439552,0.003907
3,34,23434713,0.003906
3,35,23439099,0.003907
3,36,23438943,0.003907
3,37,23440061,0.003907
3,38,23436458,0.003906
3,39,23440338,0.003907
3,40,23432673,0.003905
3,41,23433324,0.003906
3,42,23435796,0.003906
3,43,23439186,0.003907
3,44,23432672,0.003905
3,45,23442472,0.003907
3,46,23442490,0.003907
3,47,23440083,0.003907
3,48,23445590,0.003908
3,49,23432063,0.003905
3,50,23442591,0.003907
3,51,23432898,0.003906
3,52,23435482,0.003906
3,53,23438702,0.003906
3,54,23444820,0.003907
3,55,23442895,0.003907
3,56,23440359,0.003907
3,57,23442066,0.003907
3,58,23442987,0.003907
3,59,23438231,0.003906
3,60,23432087,0.003905
3,61,23440812,0.003907
3,62,23433991,0.003906
3,63,23442767,0.003907
3,64,23435386,0.003906
3,65,23431267,0.003905
3,66,23441067,0.003907
3,67,23432916,0.003906
3,68,23441428,0.003907
3,69,23436764,0.003906
3,70,23435101,0.003906
3,71,23434567,0.003906
3,72,23439594,0.003907
3,73,23433253,0.003906
3,74,23437445,0.003906
3,75,23438556,0.003906
3,76,23427703,0.003905
3,77,23448444,0.003908
3,78,23439399,0.003907
3,79,23434803,0.003906
3,80,23428536,0.003905
3,81,23438990,0.003907
3,82,23434180,0.003906
3,83,23435634,0.003906
3,84,23422845,0.003904
3,85,23434962,0.003906
3,86,23448303,0.003908
3,87,23447280,0.003908
3,88,23438565,0.003906
3,89,23439162,0.003907
3,90,23431325,0.003905
3,91,23430823,0.003905
3,92,23432453,0.003905
3,93,23437670,0.003906
3,94,23439661,0.003907
3,95,23437325,0.003906
3,96,23436666,0.003906
3,97,23438756,0.003906
3,98,23437096,0.003906
3,99,23436513,0.003906
3,100,23434154,0.003906
3,101,23430289,0.003905
3,102,23444828,0.003907
3,103,23435150,0.003906
3,104,23437449,0.003906
3,105,23427680,0.003905
3,106,23434171,0.003906
3,107,23432281,0.003905
3,108,23443140,0.003907
3,109,23439136,0.003907
3,110,23430530,0.003905
3,111,23435768,0.003906
3,112,23436175,0.003906
3,113,23431827,0.003905
3,114,23436183,0.003906
3,115,23438323,0.003906
3,116,23445148,0.003908
3,117,23441521,0.003907
3,118,23436900,0.003906
3,119,23441892,0.003907
3,120,23427722,0.003905
3,121,23443896,0.003907
3,122,23441653,0.003907
3,123,23443307,0.003907
3,124,23435582,0.003906
3,125,23446650,0.003908
3,126,23431814,0.003905
3,127,23435829,0.003906
3,128,23441541,0.003907
3,129,23434503,0.003906
3,130,23434818,0.003906
3,131,23435740,0.003906
3,132,23450774,0.003908
3,133,23438644,0.003906
3,134,23435287,0.003906
3,135,23433722,0.003906
3,136,23430813,0.003905
3,137,23429137,0.003905
3,138,23440675,0.003907
3,139,23440383,0.003907
3,140,23441450,0.003907
3,141,23445932,0.003908
3,142,23433905,0.003906
3,143,23431708,0.003905
3,144,23441895,0.003907
3,145,23438614,0.003906
3,146,23439428,0.003907
3,147,23428016,0.003905
3,148,23440233,0.003907
3,149,23437342,0.003906
3,150,23440214,0.003907
3,151,23439900,0.003907
3,152,23440428,0.003907
3,153,23435711,0.003906
3,154,23434869,0.003906
3,155,23441360,0.003907
3,156,23433182,0.003906
3,157,23435585,0.003906
3,158,23439912,0.003907
3,159,23428419,0.003905
3,160,23429141,0.003905
3,161,23438579,0.003906
3,162,23444525,0.003907
3,163,23435463,0.003906
3,164,23446431,0.003908
3,165,23430141,0.003905
3,166,23431641,0.003905
3,167,23438145,0.003906
3,168,23435279,0.003906
3,169,23436398,0.003906
3,170,23436829,0.003906
3,171,23431368,0.003905
3,172,23433160,0.003906
3,173,23443259,0.003907
3,174,23444112,0.003907
3,175,23437197,0.003906
3,176,23443333,0.003907
3,177,23440299,0.003907
3,178,23444060,0.003907
3,179,23437608,0.003906
3,180,23433552,0.003906
3,181,23440106,0.003907
3,182,23435865,0.003906
3,183,23444459,0.003907
3,184,23438191,0.003906
3,185,23441563,0.003907
